CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2debe0aa75dd   homeiq-dashboard                   0.00%     17.87MiB / 256MiB     6.98%     1.01MB / 562kB    2.06MB / 16.4kB   21
d4254d6707fc   homeiq-admin                       0.26%     70.58MiB / 256MiB     27.57%    418kB / 303kB     5.79MB / 5.98MB   5
f1f80ed01e08   homeiq-websocket                   0.04%     57.62MiB / 512MiB     11.25%    17.7MB / 13.2MB   9.76MB / 479kB    25
74ee4203994c   ai-query-service                   4.77%     56.8MiB / 512MiB      11.09%    6.69kB / 1.57kB   385kB / 4.59MB    6
18edb48b0e22   homeiq-device-intelligence         0.16%     153.7MiB / 512MiB     30.02%    1.02MB / 367kB    2.05MB / 7.36MB   47
61773adb912b   homeiq-influxdb                    5.00%     159.4MiB / 512MiB     31.13%    12.2MB / 5.41MB   31.5MB / 7.5MB    26
57c5629d3437   homeiq-data-api                    0.21%     116.4MiB / 1GiB       11.37%    5.44MB / 120MB    8.13MB / 9.16MB   11
da71f4b2b738   homeiq-setup-service               0.25%     87.43MiB / 256MiB     34.15%    7.05MB / 1.34MB   3.01MB / 22.5MB   6
f3b95c5ed8a5   ai-code-executor                   0.17%     37.77MiB / 192MiB     19.67%    13.5kB / 2.33kB   3.71MB / 0B       5
9cfa087eeb45   ai-automation-ui                   0.00%     20.55MiB / 256MiB     8.03%     39.4MB / 8.52MB   5.18MB / 4.1kB    21
ca6b7af6871f   ai-automation-service              0.29%     617.2MiB / 2GiB       30.14%    124MB / 39.5MB    99.8MB / 17MB     93
5bbfd50f81cf   ai-pattern-service                 0.18%     135.6MiB / 15.47GiB   0.86%     12.6kB / 1.57kB   9.65MB / 0B       44
bb9fa652a4f4   homeiq-energy-correlator           4.35%     45.86MiB / 256MiB     17.91%    2.28MB / 724kB    4.29MB / 0B       2
0c2a3a142145   homeiq-smart-meter                 3.53%     52.21MiB / 192MiB     27.19%    4.05MB / 531kB    4.67MB / 0B       42
12fedb3d6b74   homeiq-ai-core-service             0.16%     38.61MiB / 512MiB     7.54%     1.78MB / 1.56MB   340kB / 0B        5
03ddea321da2   ai-training-service                0.16%     55.95MiB / 512MiB     10.93%    13.4kB / 2.06kB   6.84MB / 0B       6
badcccd86df6   homeiq-device-health-monitor       0.18%     35.38MiB / 256MiB     13.82%    13.8kB / 2.75kB   3.36MB / 0B       5
c38fbdecf6fa   homeiq-ner-service                 0.21%     223.5MiB / 1GiB       21.83%    398kB / 371kB     21.7MB / 0B       24
0eb09ddd1f5d   homeiq-log-aggregator              0.04%     49.37MiB / 128MiB     38.57%    17kB / 6.55kB     8.64MB / 0B       1
f013f1c6a852   homeiq-ml-service                  0.18%     117.3MiB / 512MiB     22.90%    389kB / 414kB     10.2MB / 0B       43
d850f93aceae   homeiq-openai-service              0.17%     40.49MiB / 256MiB     15.82%    437kB / 413kB     2.87MB / 0B       1
3b19bfcae0bc   homeiq-device-setup-assistant      0.19%     33.74MiB / 256MiB     13.18%    13.5kB / 2.35kB   1.61MB / 0B       5
42be3518d3e4   homeiq-openvino-service            4.93%     314.7MiB / 1.5GiB     20.49%    101MB / 2.91MB    158MB / 93.1MB    118
ddd7f706a27b   automation-miner                   3.96%     68.92MiB / 512MiB     13.46%    222kB / 14.2kB    6MB / 500kB       6
71bda14013ef   homeiq-device-database-client      0.18%     34.04MiB / 256MiB     13.30%    13.6kB / 2.35kB   1.92MB / 0B       5
8837838c8eee   homeiq-device-context-classifier   0.15%     34.24MiB / 256MiB     13.38%    14kB / 2.73kB     2.15MB / 0B       5
1d0003a24104   homeiq-device-recommender          0.16%     33.93MiB / 256MiB     13.25%    13.7kB / 2.33kB   1.83MB / 0B       5
