CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
2debe0aa75dd   homeiq-dashboard                   0.00%     17.75MiB / 256MiB     6.94%     4.14kB / 13.6kB   1.51MB / 16.4kB   21
d4254d6707fc   homeiq-admin                       0.33%     69.72MiB / 256MiB     27.24%    83.5kB / 63.7kB   5.19MB / 5.45MB   5
f1f80ed01e08   homeiq-websocket                   0.08%     57.48MiB / 512MiB     11.23%    16.1MB / 12.1MB   9.27MB / 479kB    25
74ee4203994c   ai-query-service                   0.22%     56.51MiB / 512MiB     11.04%    3.38kB / 594B     81.9kB / 4.59MB   6
18edb48b0e22   homeiq-device-intelligence         0.21%     145.2MiB / 512MiB     28.35%    4.59kB / 628B     1.64MB / 6.42MB   45
61773adb912b   homeiq-influxdb                    0.09%     142.9MiB / 512MiB     27.91%    11MB / 2.61MB     28.8MB / 7.09MB   26
57c5629d3437   homeiq-data-api                    0.25%     109.6MiB / 1GiB       10.71%    2.96MB / 109MB    7.89MB / 8.95MB   7
da71f4b2b738   homeiq-setup-service               0.19%     86MiB / 256MiB        33.59%    6.72MB / 1.27MB   2.76MB / 21.4MB   6
f3b95c5ed8a5   ai-code-executor                   0.20%     37.31MiB / 192MiB     19.43%    9.62kB / 655B     3.19MB / 0B       5
9cfa087eeb45   ai-automation-ui                   0.00%     20.54MiB / 256MiB     8.02%     1.79MB / 2.38MB   5.18MB / 4.1kB    21
ca6b7af6871f   ai-automation-service              0.24%     435.7MiB / 2GiB       21.27%    110MB / 1.51MB    1.69MB / 41kB     48
5bbfd50f81cf   ai-pattern-service                 0.26%     136.1MiB / 15.47GiB   0.86%     9.26kB / 594B     9.65MB / 0B       44
bb9fa652a4f4   homeiq-energy-correlator           0.00%     45.25MiB / 256MiB     17.68%    1.78MB / 666kB    3.84MB / 0B       2
0c2a3a142145   homeiq-smart-meter                 0.04%     52.37MiB / 192MiB     27.27%    3.8MB / 482kB     4.67MB / 0B       42
12fedb3d6b74   homeiq-ai-core-service             0.21%     38.38MiB / 512MiB     7.50%     1.67MB / 1.46MB   111kB / 0B        5
03ddea321da2   ai-training-service                0.19%     54.69MiB / 512MiB     10.68%    9.54kB / 631B     5.32MB / 0B       6
badcccd86df6   homeiq-device-health-monitor       0.19%     35.05MiB / 256MiB     13.69%    9.54kB / 660B     2.99MB / 0B       5
c38fbdecf6fa   homeiq-ner-service                 0.19%     224.7MiB / 1GiB       21.94%    373kB / 349kB     21.6MB / 0B       24
0eb09ddd1f5d   homeiq-log-aggregator              0.01%     48.45MiB / 128MiB     37.85%    9.16kB / 718B     7.54MB / 0B       1
f013f1c6a852   homeiq-ml-service                  0.22%     117.7MiB / 512MiB     22.98%    364kB / 388kB     10.2MB / 0B       43
d850f93aceae   homeiq-openai-service              0.22%     40.46MiB / 256MiB     15.81%    408kB / 387kB     2.81MB / 0B       1
3b19bfcae0bc   homeiq-device-setup-assistant      0.19%     32.96MiB / 256MiB     12.88%    9.71kB / 703B     799kB / 0B        5
42be3518d3e4   homeiq-openvino-service            0.17%     45.36MiB / 1.5GiB     2.95%     368kB / 554kB     5.02MB / 0B       24
ddd7f706a27b   automation-miner                   0.22%     62.55MiB / 512MiB     12.22%    9.37kB / 809B     2.93MB / 0B       6
71bda14013ef   homeiq-device-database-client      0.24%     33.54MiB / 256MiB     13.10%    9.79kB / 703B     1.4MB / 0B        5
8837838c8eee   homeiq-device-context-classifier   0.20%     33.06MiB / 256MiB     12.91%    9.72kB / 664B     901kB / 0B        5
1d0003a24104   homeiq-device-recommender          0.13%     33.79MiB / 256MiB     13.20%    9.79kB / 657B     1.68MB / 0B       5
